"","appl_no","approval_date1","appl_type","doc_type1","ingredient","df_new","trade_name","productmktstatus","applicant","reviewpriority1","combination_totalnumber","approval_year","generics_presence"
"164","NDA211155",2018-09-24,1,7,"DUVELISIB","CAPSULE;ORAL","COPIKTRA",1,"SECURA","PRIORITY",0,2018,0
"165","NDA209176",2017-05-05,1,7,"EDARAVONE","SOLUTION;INTRAVENOUS","RADICAVA",1,"MITSUBISHI TANABE","STANDARD",0,2017,1
"166","NDA215446",2022-05-12,1,12,"EDARAVONE","SUSPENSION;ORAL","RADICAVA ORS",1,"MITSUBISHI TANABE","PRIORITY",NA,2022,1
"167","NDA206316",2015-01-08,1,7,"EDOXABAN TOSYLATE","TABLET;ORAL","SAVAYSA",1,"DAIICHI SANKYO INC","STANDARD",0,2015,0
"168","NDA203567",2014-06-06,1,7,"EFINACONAZOLE","SOLUTION;TOPICAL","JUBLIA",1,"BAUSCH","STANDARD",0,2014,1
"169","NDA217639",2023-01-27,1,7,"ELACESTRANT DIHYDROCHLORIDE","TABLET;ORAL","ORSERDU",1,"STEMLINE THERAP","PRIORITY",0,2023,0
"170","NDA210450",2018-07-23,1,7,"ELAGOLIX SODIUM","TABLET;ORAL","ORILISSA",1,"ABBVIE","PRIORITY",1,2018,0
"171","NDA212273",2019-10-21,1,8,"ELEXACAFTOR, IVACAFTOR, TEZACAFTOR; IVACAFTOR","TABLET;ORAL","TRIKAFTA (COPACKAGED)",1,"VERTEX PHARMS INC","PRIORITY",0,2019,0
"172","NDA217660",2023-04-26,1,12,"ELEXACAFTOR, IVACAFTOR, TEZACAFTOR; IVACAFTOR","GRANULES;ORAL","TRIKAFTA (COPACKAGED)",1,"VERTEX PHARMS INC","PRIORITY",NA,2023,0
"173","NDA205494",2014-08-19,1,7,"ELIGLUSTAT TARTRATE","CAPSULE;ORAL","CERDELGA",1,"GENZYME CORP","PRIORITY",0,2014,1
"174","NDA022291",2008-11-20,1,7,"ELTROMBOPAG OLAMINE","TABLET;ORAL","PROMACTA",1,"NOVARTIS","PRIORITY",0,2008,0
"175","NDA207027",2015-08-24,1,13,"ELTROMBOPAG OLAMINE","FOR SUSPENSION;ORAL","PROMACTA KIT",1,"NOVARTIS","PRIORITY",NA,2015,0
"176","NDA206940",2015-05-27,1,7,"ELUXADOLINE","TABLET;ORAL","VIBERZI",1,"ABBVIE","PRIORITY",0,2015,1
"177","NDA204629",2014-08-01,1,7,"EMPAGLIFLOZIN","TABLET;ORAL","JARDIANCE",1,"BOEHRINGER INGELHEIM","STANDARD",3,2014,1
"178","NDA209606",2017-08-01,1,7,"ENASIDENIB MESYLATE","TABLET;ORAL","IDHIFA",1,"BRISTOL MYERS SQUIBB","PRIORITY",0,2017,0
"179","NDA210496",2018-06-27,1,7,"ENCORAFENIB","CAPSULE;ORAL","BRAFTOVI",1,"ARRAY BIOPHARMA INC","STANDARD",0,2018,0
"180","NDA212725",2019-08-15,1,7,"ENTRECTINIB","CAPSULE;ORAL","ROZLYTREK",1,"GENENTECH INC","PRIORITY",0,2019,0
"181","NDA218550",2023-10-20,1,12,"ENTRECTINIB","PELLETS;ORAL","ROZLYTREK",1,"GENENTECH INC","PRIORITY",NA,2023,0
"182","NDA203415",2012-08-31,1,7,"ENZALUTAMIDE","CAPSULE;ORAL","XTANDI",1,"ASTELLAS","PRIORITY",0,2012,1
"183","NDA213674",2020-08-04,1,12,"ENZALUTAMIDE","TABLET;ORAL","XTANDI",1,"ASTELLAS","STANDARD",NA,2020,1
"184","NDA217388",2023-12-21,1,7,"EPLONTERSEN SODIUM","SOLUTION;SUBCUTANEOUS","WAINUA (AUTOINJECTOR)",1,"ASTRAZENECA AB","STANDARD",0,2023,0
"185","NDA211109",2018-08-27,1,7,"ERAVACYCLINE DIHYDROCHLORIDE","POWDER;INTRAVENOUS","XERAVA",1,"TETRAPHASE PHARMS","PRIORITY",0,2018,0
"186","NDA212018",2019-04-12,1,7,"ERDAFITINIB","TABLET;ORAL","BALVERSA",1,"JANSSEN BIOTECH","PRIORITY",0,2019,0
"187","NDA201532",2010-11-15,1,7,"ERIBULIN MESYLATE","SOLUTION;INTRAVENOUS","HALAVEN",1,"EISAI INC","PRIORITY",0,2010,1
"188","NDA209803",2017-12-19,1,7,"ERTUGLIFLOZIN","TABLET;ORAL","STEGLATRO",1,"MSD SUB MERCK","STANDARD",2,2017,1
"189","NDA022416",2013-11-08,1,7,"ESLICARBAZEPINE ACETATE","TABLET;ORAL","APTIOM",1,"SUMITOMO PHARMA AM","STANDARD",0,2013,1
"190","NDA208325",2017-02-07,1,7,"ETELCALCETIDE","SOLUTION;INTRAVENOUS","PARSABIV",1,"KAI PHARMS INC","STANDARD",0,2017,0
"191","NDA206488",2016-09-19,1,7,"ETEPLIRSEN","SOLUTION;INTRAVENOUS","EXONDYS 51",1,"SAREPTA THERAPS INC","PRIORITY",0,2016,0
"192","NDA216956",2023-10-12,1,7,"ETRASIMOD ARGININE","TABLET;ORAL","VELSIPITY",1,"PFIZER","STANDARD",0,2023,0
"193","NDA022187",2008-01-18,1,7,"ETRAVIRINE","TABLET;ORAL","INTELENCE",1,"JANSSEN R AND D","PRIORITY",0,2008,1
"194","NDA022334",2009-03-30,1,7,"EVEROLIMUS","TABLET;ORAL","AFINITOR",1,"NOVARTIS","PRIORITY",0,2009,1
"195","NDA021560",2010-04-20,1,15,"EVEROLIMUS","TABLET;ORAL","ZORTRESS",1,"NOVARTIS","STANDARD",NA,2010,1
"196","NDA203985",2012-08-29,1,12,"EVEROLIMUS","TABLET, FOR SUSPENSION;ORAL","AFINITOR DISPERZ",1,"NOVARTIS PHARM","PRIORITY",NA,2012,1
"197","NDA022345",2011-06-10,1,7,"EZOGABINE","TABLET;ORAL","POTIGA",3,"GLAXOSMITHKLINE","STANDARD",0,2011,0
"198","NDA021856",2009-02-13,1,7,"FEBUXOSTAT","TABLET;ORAL","ULORIC",1,"TAKEDA PHARMS USA","STANDARD",0,2009,1
"199","NDA212327",2019-08-16,1,7,"FEDRATINIB HYDROCHLORIDE","CAPSULE;ORAL","INREBIC",1,"BRISTOL-MYERS","PRIORITY",0,2019,0
"200","NDA212320",2019-07-25,1,7,"FERRIC MALTOL","CAPSULE;ORAL","ACCRUFER",1,"SHIELD TX","STANDARD",0,2019,0
"201","NDA022030",2008-10-31,1,7,"FESOTERODINE FUMARATE","TABLET, EXTENDED RELEASE;ORAL","TOVIAZ",1,"PFIZER","STANDARD",0,2008,1
"202","NDA214429",2021-07-16,1,7,"FEXINIDAZOLE","TABLET;ORAL","FEXINIDAZOLE",1,"SANOFI","PRIORITY",0,2021,0
"203","NDA216578",2023-05-12,1,7,"FEZOLINETANT","TABLET;ORAL","VEOZAH",1,"ASTELLAS","PRIORITY",0,2023,0
"204","NDA201699",2011-05-27,1,7,"FIDAXOMICIN","TABLET;ORAL","DIFICID",1,"CUBIST PHARMS LLC","PRIORITY",0,2011,1
"205","NDA213138",2020-01-24,1,15,"FIDAXOMICIN","FOR SUSPENSION;ORAL","DIFICID",1,"CUBIST PHARMS LLC","PRIORITY",NA,2020,1
"206","NDA206307",2014-12-17,1,7,"FINAFLOXACIN","SUSPENSION/DROPS;OTIC","XTORO",3,"FONSECA BIOSCIENCES","PRIORITY",0,2014,0
"207","NDA215341",2021-07-09,1,7,"FINERENONE","TABLET;ORAL","KERENDIA",1,"BAYER HLTHCARE","PRIORITY",0,2021,0
"208","NDA022527",2010-09-21,1,7,"FINGOLIMOD HYDROCHLORIDE","CAPSULE;ORAL","GILENYA",1,"NOVARTIS","PRIORITY",0,2010,1
"209","NDA210589",2018-07-27,1,8,"FISH OIL TRIGLYCERIDES","EMULSION;INTRAVENOUS","OMEGAVEN",1,"FRESENIUS KABI USA","PRIORITY",0,2018,0
"210","NDA022526",2015-08-18,1,7,"FLIBANSERIN","TABLET;ORAL","ADDYI",1,"SPROUT PHARMS","STANDARD",0,2015,0
"211","NDA204677",2014-03-19,1,7,"FLORBETABEN F-18","SOLUTION;INTRAVENOUS","NEURACEQ",1,"LIFE MOLECULAR","STANDARD",0,2014,0
"212","NDA202008",2012-04-06,1,7,"FLORBETAPIR F-18","SOLUTION;INTRAVENOUS","AMYVID",1,"AVID RADIOPHARMS INC","PRIORITY",0,2012,0
"213","NDA212123",2020-05-28,1,7,"FLORTAUCIPIR F-18","SOLUTION;INTRAVENOUS","TAUVID",1,"AVID RADIOPHARMS INC","PRIORITY",0,2020,0
"214","NDA216023",2023-05-25,1,7,"FLOTUFOLASTAT F-18 GALLIUM","SOLUTION;INTRAVENOUS","POSLUMA",1,"BLUE EARTH","STANDARD",0,2023,0
"215","NDA208054",2016-05-27,1,7,"FLUCICLOVINE F-18","SOLUTION;INTRAVENOUS","AXUMIN",1,"BLUE EARTH","PRIORITY",0,2016,0
"216","NDA200655",2019-10-10,1,7,"FLUORODOPA F-18","SOLUTION;INTRAVENOUS","FLUORODOPA F18",1,"FEINSTEIN","STANDARD",0,2019,0
"217","NDA212155",2020-05-20,1,7,"FLUOROESTRADIOL F-18","SOLUTION;INTRAVENOUS","CERIANNA",1,"GE HEALTHCARE","STANDARD",0,2020,0
"218","NDA203137",2013-10-25,1,7,"FLUTEMETAMOL F-18","INJECTABLE;INTRAVENOUS","VIZAMYL",1,"GE HEALTHCARE","STANDARD",0,2013,0
"219","NDA204275",2013-05-10,1,7,"FLUTICASONE FUROATE; VILANTEROL TRIFENATATE","POWDER;INHALATION","BREO ELLIPTA",1,"GLAXO GRP LTD","STANDARD",0,2013,0
"220","NDA022023",2008-01-25,1,7,"FOSAPREPITANT DIMEGLUMINE","POWDER;INTRAVENOUS","EMEND",1,"MERCK AND CO INC","STANDARD",0,2008,1
"221","NDA210064",2019-09-05,1,15,"FOSAPREPITANT DIMEGLUMINE","POWDER;INTRAVENOUS","FOSAPREPITANT DIMEGLUMINE",1,"TEVA PHARMS USA","STANDARD",NA,2019,1
"222","NDA216686",2023-08-22,1,12,"FOSAPREPITANT DIMEGLUMINE","SOLUTION;INTRAVENOUS","FOCINVEZ",1,"STERISCIENCE","STANDARD",NA,2023,1
"223","NDA214018",2021-02-26,1,7,"FOSDENOPTERIN HYDROBROMIDE","POWDER;INTRAVENOUS","NULIBRY",1,"SENTYNL THERAPS INC","PRIORITY",0,2021,0
"224","NDA210493",2018-04-19,1,8,"FOSNETUPITANT CHLORIDE HYDROCHLORIDE; PALONOSETRON HYDROCHLORIDE","SOLUTION;INTRAVENOUS","AKYNZEO",1,"HELSINN HLTHCARE","STANDARD",0,2018,0
"225","NDA210493",2018-04-19,1,8,"FOSNETUPITANT CHLORIDE HYDROCHLORIDE; PALONOSETRON HYDROCHLORIDE","POWDER;INTRAVENOUS","AKYNZEO",3,"HELSINN HLTHCARE","STANDARD",0,2018,0
"226","NDA022244",2008-12-08,1,7,"FOSPROPOFOL DISODIUM","SOLUTION;INTRAVENOUS","LUSEDRA",3,"EISAI INC","STANDARD",0,2008,0
"227","NDA209299",2018-04-17,1,7,"FOSTAMATINIB DISODIUM","TABLET;ORAL","TAVALISSE",1,"RIGEL PHARMS INC","STANDARD",0,2018,0
"228","NDA212950",2020-07-02,1,7,"FOSTEMSAVIR TROMETHAMINE","TABLET, EXTENDED RELEASE;ORAL","RUKOBIA",1,"VIIV HLTHCARE","PRIORITY",0,2020,0
"229","NDA217564",2023-11-08,1,7,"FRUQUINTINIB","CAPSULE;ORAL","FRUZAQLA",1,"TAKEDA PHARMS USA","PRIORITY",0,2023,0
"230","NDA214801",2022-09-30,1,7,"FUTIBATINIB","TABLET;ORAL","LYTGOBI",1,"TAIHO ONCOLOGY","PRIORITY",0,2022,0
"231","NDA022399",2011-04-06,1,7,"GABAPENTIN ENACARBIL","TABLET, EXTENDED RELEASE;ORAL","HORIZANT",1,"AZURITY","STANDARD",0,2011,0
"232","NDA201277",2011-03-14,1,7,"GADOBUTROL","SOLUTION;INTRAVENOUS","GADAVIST",1,"BAYER HLTHCARE","STANDARD",0,2011,1
"233","NDA021711",2008-12-22,1,7,"GADOFOSVESET TRISODIUM","SOLUTION;INTRAVENOUS","ABLAVAR",3,"LANTHEUS MEDCL","STANDARD",0,2008,0
"234","NDA216986",2022-09-21,1,8,"GADOPICLENOL","SOLUTION;INTRAVENOUS","ELUCIREM",1,"GUERBET","PRIORITY",0,2022,0
"235","NDA204781",2013-03-20,1,7,"GADOTERATE MEGLUMINE","SOLUTION;INTRAVENOUS","DOTAREM",1,"GUERBET","PRIORITY",0,2013,1
"236","NDA022090",2008-07-03,1,7,"GADOXETATE DISODIUM","SOLUTION;INTRAVENOUS","EOVIST",1,"BAYER HLTHCARE","STANDARD",0,2008,0
"237","NDA208547",2016-06-01,1,7,"GALLIUM DOTATATE GA-68","POWDER;INTRAVENOUS","NETSPOT",1,"AAA USA INC","PRIORITY",0,2016,0
"238","NDA210828",2019-08-21,1,7,"GALLIUM GA-68 EDOTREOTIDE","SOLUTION;INTRAVENOUS","GALLIUM GA 68 EDOTREOTIDE",1,"UIHC PET IMAGING","STANDARD",0,2019,0
"239","NDA212642",2020-12-01,1,7,"GALLIUM GA-68 GOZETOTIDE","SOLUTION;INTRAVENOUS","GALLIUM GA 68 GOZETOTIDE",1,"UNIV CA LOS ANGELES","STANDARD",0,2020,0
"240","NDA212643",2020-12-01,1,7,"GALLIUM GA-68 GOZETOTIDE","SOLUTION;INTRAVENOUS","GALLIUM GA 68 GOZETOTIDE",1,"UNIV OF CA SAN FRAN","STANDARD",0,2020,0
"241","NDA214032",2021-12-17,1,13,"GALLIUM GA-68 GOZETOTIDE","POWDER;INTRAVENOUS","ILLUCCIX",1,"TELIX","STANDARD",NA,2021,0
"242","NDA215904",2022-03-18,1,7,"GANAXOLONE","SUSPENSION;ORAL","ZTALMY",1,"MARINUS","PRIORITY",0,2022,0
"243","NDA021164",2023-09-22,1,7,"GEPIRONE HYDROCHLORIDE","TABLET, EXTENDED RELEASE;ORAL","EXXUA",1,"FABRE KRAMER","STANDARD",0,2023,0
"244","NDA211349",2018-11-28,1,7,"GILTERITINIB FUMARATE","TABLET;ORAL","XOSPATA",1,"ASTELLAS","PRIORITY",0,2018,0
"245","NDA217865",2024-03-21,1,7,"GIVINOSTAT HYDROCHLORIDE","SUSPENSION;ORAL","DUVYZAT",1,"ITALFARMACO SPA","PRIORITY",0,2024,0
"246","NDA212194",2019-11-20,1,7,"GIVOSIRAN SODIUM","SOLUTION;SUBCUTANEOUS","GIVLAARI",1,"ALNYLAM PHARMS INC","PRIORITY",0,2019,0
"247","NDA210656",2018-11-21,1,7,"GLASDEGIB MALEATE","TABLET;ORAL","DAURISMO",1,"PFIZER","PRIORITY",0,2018,0
"248","NDA211970",2019-12-12,1,7,"GOLODIRSEN","SOLUTION;INTRAVENOUS","VYONDYS 53",1,"SAREPTA THERAPS INC","PRIORITY",0,2019,0
"249","NDA214520",2023-11-15,1,8,"HEPARIN SODIUM; TAUROLIDINE","SOLUTION;N/A","DEFENCATH",1,"CORMEDIX","PRIORITY",0,2023,0
"250","NDA214900",2021-06-01,1,7,"IBREXAFUNGERP CITRATE","TABLET;ORAL","BREXAFEMME",1,"SCYNEXIS","PRIORITY",0,2021,0
"251","NDA205552",2013-11-13,1,7,"IBRUTINIB","CAPSULE;ORAL","IMBRUVICA",1,"PHARMACYCLICS LLC","PRIORITY",0,2013,1
"252","NDA210563",2018-02-16,1,12,"IBRUTINIB","TABLET;ORAL","IMBRUVICA",1,"PHARMACYCLICS LLC","PRIORITY",NA,2018,1
"253","NDA217003",2022-08-24,1,15,"IBRUTINIB","SUSPENSION;ORAL","IMBRUVICA",1,"PHARMACYCLICS LLC","PRIORITY",NA,2022,1
"254","NDA217003",2022-08-24,1,15,"IBRUTINIB","CAPSULE;ORAL","IMBRUVICA",1,"PHARMACYCLICS LLC","PRIORITY",NA,2022,1
"255","NDA217003",2022-08-24,1,15,"IBRUTINIB","TABLET;ORAL","IMBRUVICA",1,"PHARMACYCLICS LLC","PRIORITY",NA,2022,1
"256","NDA022150",2011-08-25,1,7,"ICATIBANT ACETATE","INJECTABLE;SUBCUTANEOUS","FIRAZYR",1,"TAKEDA PHARMS USA","PRIORITY",0,2011,1
"257","NDA205858",2014-07-23,1,7,"IDELALISIB","TABLET;ORAL","ZYDELIG",1,"GILEAD SCIENCES INC","STANDARD",0,2014,0
"258","NDA022192",2009-05-06,1,7,"ILOPERIDONE","TABLET;ORAL","FANAPT",1,"VANDA PHARMS INC","STANDARD",0,2009,1
"259","NDA214012",2021-12-22,1,7,"INCLISIRAN SODIUM","SOLUTION;SUBCUTANEOUS","LEQVIO",1,"NOVARTIS","STANDARD",0,2021,0
"260","NDA022383",2011-07-01,1,7,"INDACATEROL MALEATE","POWDER;INHALATION","ARCAPTA NEOHALER",3,"NOVARTIS","STANDARD",1,2011,0
"261","NDA214622",2021-05-28,1,7,"INFIGRATINIB PHOSPHATE","CAPSULE;ORAL","TRUSELTIQ",3,"HELSINN HLTHCARE","PRIORITY",0,2021,0
"262","NDA202833",2012-01-23,1,7,"INGENOL MEBUTATE","GEL;TOPICAL","PICATO",3,"LEO LABS","STANDARD",0,2012,1
"263","NDA211172",2018-10-05,1,7,"INOTERSEN SODIUM","SOLUTION;SUBCUTANEOUS","TEGSEDI",1,"AKCEA THERAPS","PRIORITY",0,2018,0
"264","NDA022290",2008-09-19,1,7,"IOBENGUANE SULFATE I-123","SOLUTION;INTRAVENOUS","ADREVIEW",1,"GE HEALTHCARE","PRIORITY",0,2008,0
"265","NDA022454",2011-01-14,1,7,"IOFLUPANE I-123","SOLUTION;INTRAVENOUS","DATSCAN",1,"GE HLTHCARE INC","PRIORITY",0,2011,1
"266","NDA218276",2023-12-05,1,7,"IPTACOPAN HYDROCHLORIDE","CAPSULE;ORAL","FABHALTA",1,"NOVARTIS","PRIORITY",0,2023,0
"267","NDA207500",2015-03-06,1,7,"ISAVUCONAZONIUM SULFATE","CAPSULE;ORAL","CRESEMBA",1,"ASTELLAS","PRIORITY",0,2015,0
"268","NDA207501",2015-03-06,1,12,"ISAVUCONAZONIUM SULFATE","POWDER;INTRAVENOUS","CRESEMBA",1,"ASTELLAS","PRIORITY",NA,2015,0
"269","NDA022075",2019-08-27,1,7,"ISTRADEFYLLINE","TABLET;ORAL","NOURIANZ",1,"KYOWA KIRIN","STANDARD",0,2019,0
"270","NDA206143",2015-04-15,1,7,"IVABRADINE HYDROCHLORIDE","TABLET;ORAL","CORLANOR",1,"AMGEN INC","PRIORITY",0,2015,1
"271","NDA209964",2019-04-22,1,12,"IVABRADINE HYDROCHLORIDE","SOLUTION;ORAL","CORLANOR",1,"AMGEN INC","PRIORITY",NA,2019,1
"272","NDA203188",2012-01-31,1,7,"IVACAFTOR","TABLET;ORAL","KALYDECO",1,"VERTEX PHARMS","PRIORITY",0,2012,0
"273","NDA207925",2015-03-17,1,12,"IVACAFTOR","GRANULE;ORAL","KALYDECO",1,"VERTEX PHARMS INC","PRIORITY",NA,2015,0
"274","NDA210491",2018-02-12,1,8,"IVACAFTOR; IVACAFTOR, TEZACAFTOR","TABLET;ORAL","SYMDEKO (COPACKAGED)",1,"VERTEX PHARMS INC","PRIORITY",0,2018,0
"275","NDA206038",2015-07-02,1,7,"IVACAFTOR; LUMACAFTOR","TABLET;ORAL","ORKAMBI",1,"VERTEX PHARMS INC","PRIORITY",0,2015,0
"276","NDA211358",2018-08-07,1,12,"IVACAFTOR; LUMACAFTOR","GRANULE;ORAL","ORKAMBI",1,"VERTEX PHARMS INC","PRIORITY",NA,2018,0
"277","NDA211192",2018-07-20,1,7,"IVOSIDENIB","TABLET;ORAL","TIBSOVO",1,"SERVIER","PRIORITY",0,2018,0
"278","NDA022065",2007-10-16,1,7,"IXABEPILONE","INJECTABLE;INTRAVENOUS","IXEMPRA KIT",1,"R-PHARM US LLC","PRIORITY",0,2007,0
"279","NDA208462",2015-11-20,1,7,"IXAZOMIB CITRATE","CAPSULE;ORAL","NINLARO",1,"TAKEDA PHARMS USA","PRIORITY",0,2015,0
"280","NDA022253",2008-10-28,1,7,"LACOSAMIDE","TABLET;ORAL","VIMPAT",1,"UCB INC","STANDARD",0,2008,1
"281","NDA022254",2008-10-28,1,12,"LACOSAMIDE","SOLUTION;INTRAVENOUS","VIMPAT",1,"UCB INC","STANDARD",NA,2008,1
"282","NDA022255",2010-04-20,1,12,"LACOSAMIDE","SOLUTION;ORAL","VIMPAT",1,"UCB INC","STANDARD",NA,2010,1
"283","NDA216185",2023-05-04,1,12,"LACOSAMIDE","CAPSULE, EXTENDED RELEASE;ORAL","MOTPOLY XR",1,"AUCTA","STANDARD",NA,2023,1
"284","NDA211281",2020-02-12,1,7,"LACTITOL","SOLUTION;ORAL","PIZENSY",1,"BRAINTREE LABS","STANDARD",0,2020,0
"285","NDA211281",2020-02-12,1,7,"LACTITOL","FOR SOLUTION;ORAL","PIZENSY",3,"BRAINTREE LABS","STANDARD",0,2020,0
"286","NDA022074",2007-08-30,1,7,"LANREOTIDE ACETATE","SOLUTION;SUBCUTANEOUS","SOMATULINE DEPOT",1,"IPSEN PHARMA","STANDARD",0,2007,1
"287","NDA215395",2021-12-17,1,15,"LANREOTIDE ACETATE","SOLUTION;SUBCUTANEOUS","LANREOTIDE ACETATE",1,"INVAGEN PHARMS","STANDARD",NA,2021,1
"288","NDA022059",2007-03-13,1,7,"LAPATINIB DITOSYLATE","TABLET;ORAL","TYKERB",1,"NOVARTIS","PRIORITY",0,2007,1
"289","NDA210861",2018-11-26,1,7,"LAROTRECTINIB SULFATE","CAPSULE;ORAL","VITRAKVI",1,"BAYER HLTHCARE","PRIORITY",0,2018,0
"290","NDA211710",2018-11-26,1,12,"LAROTRECTINIB SULFATE","SOLUTION;ORAL","VITRAKVI",1,"BAYER HEALTHCARE","PRIORITY",NA,2018,0
"291","NDA211280",2019-10-11,1,7,"LASMIDITAN SUCCINATE","TABLET;ORAL","REYVOW",1,"ELI LILLY AND CO","STANDARD",0,2019,0
"292","NDA207795",2017-11-02,1,7,"LATANOPROSTENE BUNOD","SOLUTION/DROPS;OPHTHALMIC","VYZULTA",1,"BAUSCH AND LOMB","STANDARD",0,2017,0
"293","NDA205834",2014-10-10,1,8,"LEDIPASVIR; SOFOSBUVIR","TABLET;ORAL","HARVONI",1,"GILEAD SCIENCES INC","PRIORITY",0,2014,0
"294","NDA212477",2019-08-28,1,12,"LEDIPASVIR; SOFOSBUVIR","PELLETS;ORAL","HARVONI",1,"GILEAD SCIENCES INC","PRIORITY",NA,2019,0
"295","NDA211672",2019-08-19,1,7,"LEFAMULIN ACETATE","TABLET;ORAL","XENLETA",1,"NABRIVA","PRIORITY",0,2019,0
"296","NDA211673",2019-08-19,1,7,"LEFAMULIN ACETATE","SOLUTION;INTRAVENOUS","XENLETA",1,"NABRIVA","PRIORITY",0,2019,0
"297","NDA212028",2019-12-20,1,7,"LEMBOREXANT","TABLET;ORAL","DAYVIGO",1,"EISAI INC","STANDARD",0,2019,0
"298","NDA215973",2022-12-22,1,7,"LENACAPAVIR SODIUM","SOLUTION;SUBCUTANEOUS","SUNLENCA",1,"GILEAD SCIENCES INC","PRIORITY",0,2022,0
"299","NDA215974",2022-12-22,1,7,"LENACAPAVIR SODIUM","TABLET;ORAL","SUNLENCA",1,"GILEAD SCIENCES INC","PRIORITY",0,2022,0
"300","NDA217759",2023-03-24,1,7,"LENIOLISIB PHOSPHATE","TABLET;ORAL","JOENJA",1,"PHARMING","PRIORITY",0,2023,0
"301","NDA206947",2015-02-13,1,7,"LENVATINIB MESYLATE","CAPSULE;ORAL","LENVIMA",1,"EISAI INC","PRIORITY",0,2015,0
"302","NDA207988",2015-12-22,1,7,"LESINURAD","TABLET;ORAL","ZURAMPIC",3,"IRONWOOD PHARMS INC","STANDARD",1,2015,0
"303","NDA209939",2017-11-08,1,7,"LETERMOVIR","TABLET;ORAL","PREVYMIS",1,"MERCK SHARP DOHME","PRIORITY",0,2017,0
"304","NDA209940",2017-11-08,1,12,"LETERMOVIR","SOLUTION;INTRAVENOUS","PREVYMIS",1,"MERCK SHARP DOHME","PRIORITY",NA,2017,0
"305","NDA208073",2016-07-11,1,7,"LIFITEGRAST","SOLUTION/DROPS;OPHTHALMIC","XIIDRA",1,"BAUSCH AND LOMB INC","PRIORITY",0,2016,1
"306","NDA202811",2012-08-30,1,7,"LINACLOTIDE","CAPSULE;ORAL","LINZESS",1,"ABBVIE","STANDARD",0,2012,1
"307","NDA201280",2011-05-02,1,7,"LINAGLIPTIN","TABLET;ORAL","TRADJENTA",1,"BOEHRINGER INGELHEIM","STANDARD",4,2011,1
"308","NDA022341",2010-01-25,1,7,"LIRAGLUTIDE","SOLUTION;SUBCUTANEOUS","VICTOZA",1,"NOVO NORDISK INC","STANDARD",0,2010,0
"309","NDA021977",2007-02-23,1,7,"LISDEXAMFETAMINE DIMESYLATE","CAPSULE;ORAL","VYVANSE",1,"TAKEDA PHARMS USA","STANDARD",0,2007,1
"310","NDA208510",2017-01-28,1,12,"LISDEXAMFETAMINE DIMESYLATE","TABLET, CHEWABLE;ORAL","VYVANSE",1,"TAKEDA PHARMS USA","STANDARD",NA,2017,1
"311","NDA209229",2018-05-16,1,7,"LOFEXIDINE HYDROCHLORIDE","TABLET;ORAL","LUCEMYRA",1,"USWM","PRIORITY",0,2018,0
"312","NDA203858",2012-12-21,1,7,"LOMITAPIDE MESYLATE","CAPSULE;ORAL","JUXTAPID",1,"CHIESI","STANDARD",0,2012,0
"313","NDA213969",2020-11-20,1,7,"LONAFARNIB","CAPSULE;ORAL","ZOKINVY",1,"SENTYNL THERAPS INC","PRIORITY",0,2020,0
"314","NDA210868",2018-11-02,1,7,"LORLATINIB","TABLET;ORAL","LORBRENA",1,"PFIZER","PRIORITY",0,2018,0
"315","NDA217603",2023-07-24,1,7,"LOTILANER","SOLUTION/DROPS;OPHTHALMIC","XDEMVY",1,"TARSUS","STANDARD",0,2023,0
"316","NDA021746",2012-03-06,1,7,"LUCINACTANT","SUSPENSION;INTRATRACHEAL","SURFAXIN",3,"LEES PHARM HK","STANDARD",0,2012,0
"317","NDA204153",2013-11-14,1,7,"LULICONAZOLE","CREAM;TOPICAL","LUZU",1,"BAUSCH","STANDARD",0,2013,0
"318","NDA214103",2020-11-23,1,7,"LUMASIRAN SODIUM","SOLUTION;SUBCUTANEOUS","OXLUMO",1,"ALNYLAM PHARMS INC","PRIORITY",0,2020,0
"319","NDA209500",2019-12-20,1,7,"LUMATEPERONE TOSYLATE","CAPSULE;ORAL","CAPLYTA",1,"INTRA-CELLULAR","STANDARD",0,2019,0
"320","NDA200603",2010-10-28,1,7,"LURASIDONE HYDROCHLORIDE","TABLET;ORAL","LATUDA",1,"SUNOVION PHARMS INC","STANDARD",0,2010,1
"321","NDA213702",2020-06-15,1,7,"LURBINECTEDIN","POWDER;INTRAVENOUS","ZEPZELCA",1,"JAZZ","PRIORITY",0,2020,0
"322","NDA210923",2018-07-31,1,7,"LUSUTROMBOPAG","TABLET;ORAL","MULPLETA",1,"VANCOCIN ITALIA","PRIORITY",0,2018,0
"323","NDA208700",2018-01-26,1,7,"LUTETIUM LU 177 DOTATATE","SOLUTION;INTRAVENOUS","LUTATHERA",1,"AAA USA INC","PRIORITY",0,2018,0
"324","NDA215833",2022-03-23,1,7,"LUTETIUM LU-177 VIPIVOTIDE TETRAXETAN","SOLUTION;INTRAVENOUS","PLUVICTO",1,"NOVARTIS","PRIORITY",0,2022,0
"325","NDA205598",2017-12-20,1,7,"MACIMORELIN ACETATE","FOR SOLUTION;ORAL","MACRILEN",3,"NOVO","STANDARD",0,2017,0
"326","NDA204410",2013-10-18,1,7,"MACITENTAN","TABLET;ORAL","OPSUMIT",1,"ACTELION","STANDARD",1,2013,1
